,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
0,0,0,0,0,1,0,1,0,0,0,1,0,4,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2,won
1,0,0,0,0,0,0,1,1,1,1,0,0,4,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,nowin
2,0,0,0,0,0,1,1,0,1,0,1,0,4,0,3,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,2,won
3,0,0,0,0,0,1,0,0,0,0,0,1,5,0,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2,won
4,0,0,0,1,1,0,1,1,1,1,0,0,4,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,2,nowin
5,0,0,0,0,1,0,1,1,1,1,0,0,5,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,nowin
6,0,0,0,0,1,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,nowin
7,0,1,0,0,0,0,0,0,0,0,0,0,4,0,6,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,2,nowin
8,0,0,0,0,0,1,1,0,1,0,1,0,5,0,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,2,won
9,0,1,0,0,1,0,0,0,1,0,0,0,4,0,2,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,won
10,1,0,0,0,0,0,0,0,0,0,1,0,5,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2,won
11,0,0,0,0,0,1,1,0,0,0,1,0,4,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,2,won
12,0,0,0,0,1,1,1,0,0,0,1,0,4,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,nowin
13,0,0,0,0,0,1,0,0,0,0,0,1,4,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,won
14,1,0,0,0,0,1,0,0,0,0,1,0,4,0,2,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,2,won
15,0,0,0,1,1,1,1,1,1,1,0,0,4,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,won
16,0,0,0,0,0,1,0,0,0,0,0,1,4,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,2,nowin
17,1,0,1,0,0,0,1,1,1,1,1,0,5,0,2,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,2,nowin
18,1,0,1,0,0,0,1,0,0,0,0,1,4,1,2,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,2,nowin
19,0,0,0,0,0,1,0,0,0,1,0,0,5,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2,nowin
20,0,0,0,1,0,1,1,1,1,1,1,0,4,0,3,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,1,2,won
21,0,0,0,0,0,0,1,0,1,0,1,0,4,0,2,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,2,won
22,0,0,0,0,0,0,1,1,1,1,1,0,4,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2,nowin
23,0,0,0,0,0,1,1,1,1,0,1,0,5,0,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,2,won
24,0,0,0,0,1,0,1,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,nowin
25,0,0,0,0,0,0,0,0,1,0,0,0,4,0,2,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,won
26,0,0,0,0,0,1,0,0,1,0,0,0,5,0,2,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,2,nowin
27,0,0,0,0,0,1,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,2,won
28,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,2,won
29,0,0,0,1,1,0,1,1,1,1,0,0,4,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,nowin
30,0,0,0,0,0,0,0,0,0,0,0,1,5,0,2,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,nowin
31,1,0,0,0,0,0,0,0,0,0,1,0,4,0,6,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,2,won
32,0,0,0,0,0,0,0,0,1,0,0,0,4,0,2,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,2,nowin
33,0,0,1,0,1,0,1,1,1,1,0,0,5,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,2,nowin
34,0,0,0,0,0,0,0,0,0,0,1,1,4,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,2,won
35,0,1,0,1,0,0,0,0,1,0,0,0,4,0,3,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,2,won
36,1,0,0,0,1,0,1,1,1,1,1,0,5,0,6,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2,nowin
37,1,0,0,1,0,1,0,0,0,0,1,0,5,0,6,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,won
38,0,0,0,0,1,1,0,1,1,1,1,0,4,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2,nowin
39,0,0,0,1,1,1,0,0,1,0,0,0,5,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,won
40,0,0,0,0,0,0,0,0,1,0,0,1,4,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,won
41,0,0,0,0,0,1,0,1,1,1,0,0,5,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,2,nowin
42,0,0,0,0,1,0,1,1,1,1,0,0,5,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,nowin
43,0,0,0,1,1,1,0,0,0,1,0,0,5,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,won
44,1,0,0,0,0,0,1,0,0,0,1,0,5,0,6,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2,won
45,0,0,0,0,0,1,1,0,0,0,1,1,4,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,won
46,1,0,0,0,1,0,1,1,1,1,1,0,4,0,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,2,nowin
47,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,1,2,won
48,0,0,0,0,0,1,0,0,0,0,0,0,4,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,2,nowin
49,0,0,0,0,0,0,0,0,0,0,0,1,5,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,won
50,0,0,0,0,0,1,0,0,0,0,0,1,4,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,won
51,1,0,0,0,1,0,0,0,1,0,0,0,4,0,6,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,2,nowin
52,0,0,0,0,0,0,0,0,0,1,1,1,5,0,2,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,2,won
53,0,0,0,0,0,0,0,0,1,0,1,0,4,0,2,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,2,won
54,0,0,0,0,0,0,0,0,1,0,1,0,5,0,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,2,won
55,0,0,0,0,0,0,0,0,1,0,0,0,5,0,2,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,nowin
56,0,0,0,1,1,1,0,0,0,0,0,0,4,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,2,nowin
57,0,0,0,0,1,0,0,0,0,0,1,0,4,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,2,nowin
58,0,0,1,0,1,0,1,1,1,1,0,0,4,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,2,nowin
59,0,0,0,0,1,0,0,0,0,0,0,0,5,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2,won
60,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,nowin
61,0,0,0,0,1,0,1,1,1,1,1,0,4,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,2,nowin
62,0,0,0,1,0,1,1,1,1,0,1,0,5,0,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,2,won
63,1,0,0,0,0,0,1,1,1,1,1,0,4,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,nowin
64,0,0,0,1,1,1,0,0,0,0,0,0,5,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,nowin
65,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,2,won
66,0,0,0,0,0,1,1,1,1,0,1,0,4,0,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,2,nowin
67,0,0,0,0,0,1,0,0,0,0,0,1,5,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,won
68,1,0,0,0,0,1,1,0,0,0,1,0,5,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2,won
69,0,0,0,0,1,0,1,1,1,0,0,0,5,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,won
70,0,0,0,0,0,0,1,0,0,0,0,0,5,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,2,nowin
71,1,0,0,0,1,1,1,1,1,0,1,0,4,0,6,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,won
72,0,0,0,0,0,1,1,0,0,1,1,1,4,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,2,won
73,0,0,0,0,0,1,0,0,0,0,0,0,4,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,won
74,0,0,0,1,1,1,0,0,0,0,0,0,4,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,won
75,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,won
76,0,0,0,0,0,0,0,0,1,0,1,0,4,0,3,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,1,1,2,won
77,1,0,0,0,1,0,1,1,1,1,1,0,4,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,nowin
78,0,0,0,1,0,1,1,1,1,0,1,0,4,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,won
79,0,0,0,1,0,1,1,1,1,1,0,0,4,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,nowin
80,0,0,0,0,0,0,1,0,1,0,0,0,4,0,2,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,2,won
81,0,0,0,0,0,1,0,0,0,0,0,0,4,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,won
82,0,0,0,0,0,1,0,0,1,0,1,0,4,0,3,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,2,won
83,0,0,0,0,1,0,0,0,0,1,0,0,4,0,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2,won
84,0,0,0,0,1,0,1,1,1,1,0,0,4,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,nowin
